,Cell,Cluster
0,GSM1658365,fetal_quiescent
1,GSM1658366,fetal_quiescent
2,GSM1658364,fetal_quiescent
3,GSM1658363,fetal_quiescent
4,GSM1658362,fetal_quiescent
5,GSM1658361,fetal_quiescent
6,GSM1658348,fetal_quiescent
7,GSM1658350,fetal_quiescent
8,GSM1658351,fetal_quiescent
9,GSM1658352,fetal_quiescent
10,GSM1658353,fetal_quiescent
11,GSM1658354,fetal_quiescent
12,GSM1658355,fetal_replicating
13,GSM1658356,fetal_quiescent
14,GSM1658357,fetal_quiescent
15,GSM1658358,fetal_quiescent
16,GSM1658359,fetal_quiescent
17,GSM1658360,fetal_quiescent
18,GSM1658244,fetal_quiescent
19,GSM1658245,fetal_quiescent
20,GSM1658246,fetal_quiescent
21,GSM1658247,fetal_quiescent
22,GSM1658248,fetal_quiescent
23,GSM1658249,fetal_quiescent
24,GSM1658251,fetal_quiescent
25,GSM1658253,fetal_quiescent
26,GSM1658255,fetal_quiescent
27,GSM1658257,fetal_quiescent
28,GSM1658259,fetal_quiescent
29,GSM1658336,fetal_quiescent
30,GSM1658337,fetal_quiescent
31,GSM1658338,fetal_quiescent
32,GSM1658339,fetal_quiescent
33,GSM1658340,fetal_quiescent
34,GSM1658341,fetal_quiescent
35,GSM1658342,fetal_quiescent
36,GSM1658343,fetal_quiescent
37,GSM1658344,fetal_quiescent
38,GSM1658345,fetal_quiescent
39,GSM1658346,fetal_quiescent
40,GSM1658347,fetal_replicating
41,GSM1658349,fetal_quiescent
42,GSM1658262,fetal_quiescent
43,GSM1658264,fetal_quiescent
44,GSM1658266,fetal_quiescent
45,GSM1658268,fetal_quiescent
46,GSM1658270,fetal_quiescent
47,GSM1658272,fetal_quiescent
48,GSM1658275,fetal_quiescent
49,GSM1658277,fetal_quiescent
50,GSM1658279,fetal_quiescent
51,GSM1658281,fetal_quiescent
52,GSM1658284,fetal_quiescent
53,GSM1658286,fetal_quiescent
54,GSM1658288,fetal_quiescent
55,GSM1658290,fetal_quiescent
56,GSM1658292,fetal_quiescent
57,GSM1658294,fetal_quiescent
58,GSM1658297,fetal_quiescent
59,GSM1658299,fetal_quiescent
60,GSM1658301,fetal_quiescent
61,GSM1658304,fetal_replicating
62,GSM1658305,fetal_quiescent
63,GSM1658306,fetal_quiescent
64,GSM1658307,fetal_quiescent
65,GSM1658308,fetal_quiescent
66,GSM1658309,fetal_quiescent
67,GSM1658310,fetal_quiescent
68,GSM1658311,fetal_quiescent
69,GSM1658312,fetal_quiescent
70,GSM1658313,fetal_quiescent
71,GSM1658314,fetal_quiescent
72,GSM1658315,fetal_quiescent
73,GSM1658316,fetal_quiescent
74,GSM1658317,fetal_quiescent
75,GSM1658318,fetal_quiescent
76,GSM1658319,fetal_quiescent
77,GSM1658320,fetal_quiescent
78,GSM1658321,fetal_quiescent
79,GSM1658322,fetal_quiescent
80,GSM1658323,fetal_quiescent
81,GSM1658324,fetal_quiescent
82,GSM1658325,fetal_quiescent
83,GSM1658326,fetal_quiescent
84,GSM1658327,fetal_quiescent
85,GSM1658328,fetal_quiescent
86,GSM1658329,fetal_quiescent
87,GSM1658330,fetal_quiescent
88,GSM1658331,fetal_quiescent
89,GSM1658332,fetal_quiescent
93,GSM1658078,astrocytes
94,GSM1658079,astrocytes
95,GSM1658080,neurons
96,GSM1658081,astrocytes
97,GSM1658082,astrocytes
98,GSM1658083,endothelial
99,GSM1658084,neurons
100,GSM1658085,endothelial
101,GSM1658086,endothelial
102,GSM1658087,neurons
103,GSM1658163,neurons
105,GSM1658166,neurons
106,GSM1658167,oligodendrocytes
107,GSM1658168,astrocytes
108,GSM1658169,neurons
109,GSM1658170,neurons
110,GSM1658171,neurons
111,GSM1658172,neurons
112,GSM1658173,oligodendrocytes
113,GSM1658174,astrocytes
114,GSM1658175,neurons
115,GSM1658176,neurons
116,GSM1658177,neurons
118,GSM1658179,oligodendrocytes
119,GSM1658180,oligodendrocytes
120,GSM1658181,neurons
121,GSM1658182,neurons
123,GSM1658184,astrocytes
124,GSM1658185,astrocytes
125,GSM1658186,astrocytes
126,GSM1658187,astrocytes
127,GSM1658188,microglia
128,GSM1658189,microglia
129,GSM1658190,astrocytes
130,GSM1658191,astrocytes
131,GSM1658192,neurons
132,GSM1658193,astrocytes
133,GSM1658194,neurons
134,GSM1658195,neurons
135,GSM1658196,microglia
136,GSM1658197,neurons
137,GSM1658198,neurons
138,GSM1658199,astrocytes
139,GSM1658200,neurons
140,GSM1658201,astrocytes
141,GSM1658202,astrocytes
142,GSM1658203,fetal_replicating
143,GSM1658204,fetal_replicating
144,GSM1658205,fetal_replicating
145,GSM1658206,fetal_replicating
146,GSM1658207,fetal_replicating
147,GSM1658208,fetal_replicating
148,GSM1658209,fetal_replicating
149,GSM1658210,fetal_replicating
150,GSM1658211,fetal_replicating
151,GSM1658212,fetal_replicating
152,GSM1658213,fetal_replicating
153,GSM1658214,fetal_replicating
154,GSM1658215,fetal_replicating
155,GSM1658216,fetal_replicating
156,GSM1658217,fetal_replicating
157,GSM1658218,fetal_replicating
158,GSM1658219,fetal_replicating
159,GSM1658220,fetal_replicating
160,GSM1658221,fetal_quiescent
161,GSM1658222,fetal_replicating
162,GSM1658223,fetal_quiescent
163,GSM1658224,fetal_replicating
164,GSM1658225,fetal_quiescent
165,GSM1658226,fetal_quiescent
166,GSM1658227,fetal_quiescent
167,GSM1658228,fetal_replicating
168,GSM1658229,fetal_quiescent
169,GSM1658230,fetal_quiescent
170,GSM1658231,fetal_quiescent
171,GSM1658232,fetal_quiescent
172,GSM1658233,fetal_quiescent
173,GSM1658234,fetal_quiescent
174,GSM1658235,fetal_quiescent
175,GSM1658236,fetal_quiescent
176,GSM1658237,fetal_quiescent
177,GSM1658238,fetal_quiescent
178,GSM1658239,fetal_quiescent
179,GSM1658240,fetal_quiescent
180,GSM1658241,fetal_quiescent
181,GSM1658242,fetal_replicating
182,GSM1658243,fetal_quiescent
183,GSM1658333,fetal_quiescent
184,GSM1658334,fetal_quiescent
185,GSM1658335,fetal_quiescent
186,GSM1657877,oligodendrocytes
190,GSM1657881,oligodendrocytes
191,GSM1657988,neurons
192,GSM1657989,neurons
193,GSM1657990,neurons
194,GSM1657991,neurons
195,GSM1657992,astrocytes
196,GSM1657993,endothelial
197,GSM1657994,microglia
198,GSM1657995,endothelial
199,GSM1657996,microglia
200,GSM1657997,microglia
201,GSM1657998,astrocytes
202,GSM1657999,microglia
203,GSM1658000,astrocytes
204,GSM1658001,neurons
205,GSM1658002,neurons
206,GSM1658003,fetal_quiescent
207,GSM1658004,endothelial
208,GSM1658005,neurons
209,GSM1658006,astrocytes
210,GSM1658007,astrocytes
212,GSM1658009,neurons
213,GSM1658010,astrocytes
215,GSM1658012,neurons
217,GSM1658014,neurons
219,GSM1658016,astrocytes
220,GSM1658017,astrocytes
221,GSM1658018,oligodendrocytes
223,GSM1658020,astrocytes
224,GSM1658021,astrocytes
228,GSM1658025,neurons
229,GSM1658026,astrocytes
230,GSM1658027,astrocytes
232,GSM1658029,astrocytes
234,GSM1658031,astrocytes
235,GSM1658032,neurons
236,GSM1658033,neurons
237,GSM1658034,neurons
238,GSM1658035,neurons
240,GSM1658037,neurons
241,GSM1658038,neurons
242,GSM1658039,neurons
243,GSM1658040,neurons
244,GSM1658041,neurons
245,GSM1658042,neurons
246,GSM1658043,astrocytes
248,GSM1658045,astrocytes
249,GSM1658046,neurons
251,GSM1658048,astrocytes
252,GSM1658049,astrocytes
253,GSM1658050,astrocytes
254,GSM1658051,astrocytes
255,GSM1658052,neurons
256,GSM1658053,astrocytes
257,GSM1658054,astrocytes
258,GSM1658055,astrocytes
259,GSM1658056,astrocytes
261,GSM1658058,neurons
262,GSM1658059,astrocytes
263,GSM1658060,astrocytes
264,GSM1658061,astrocytes
265,GSM1658062,astrocytes
266,GSM1658063,neurons
267,GSM1658064,astrocytes
268,GSM1658065,astrocytes
269,GSM1658066,astrocytes
270,GSM1658067,astrocytes
271,GSM1658068,astrocytes
272,GSM1658069,astrocytes
274,GSM1658071,astrocytes
275,GSM1658072,astrocytes
276,GSM1658073,astrocytes
278,GSM1658088,oligodendrocytes
279,GSM1658089,endothelial
280,GSM1658090,neurons
281,GSM1658091,neurons
282,GSM1658092,endothelial
283,GSM1658093,oligodendrocytes
284,GSM1658094,endothelial
285,GSM1658095,neurons
286,GSM1658096,endothelial
287,GSM1658097,oligodendrocytes
288,GSM1658098,endothelial
289,GSM1658099,endothelial
290,GSM1658100,endothelial
291,GSM1658101,neurons
292,GSM1658102,endothelial
293,GSM1658103,neurons
294,GSM1658104,neurons
295,GSM1658105,neurons
296,GSM1658106,neurons
297,GSM1658107,neurons
298,GSM1658108,neurons
299,GSM1658109,endothelial
300,GSM1658110,neurons
301,GSM1658111,neurons
302,GSM1658112,endothelial
303,GSM1658113,neurons
304,GSM1658114,neurons
305,GSM1658115,neurons
306,GSM1658116,microglia
307,GSM1658117,endothelial
308,GSM1658118,oligodendrocytes
309,GSM1658119,oligodendrocytes
310,GSM1658120,oligodendrocytes
311,GSM1658121,neurons
312,GSM1658122,endothelial
313,GSM1658123,oligodendrocytes
314,GSM1658124,oligodendrocytes
315,GSM1658125,oligodendrocytes
316,GSM1658126,endothelial
317,GSM1658127,neurons
318,GSM1658128,neurons
319,GSM1658129,neurons
320,GSM1658130,oligodendrocytes
321,GSM1658131,neurons
323,GSM1658133,oligodendrocytes
324,GSM1658134,neurons
325,GSM1658135,neurons
326,GSM1658136,neurons
327,GSM1658137,neurons
328,GSM1658138,neurons
329,GSM1658139,neurons
330,GSM1658140,oligodendrocytes
331,GSM1658141,neurons
332,GSM1658142,astrocytes
333,GSM1658143,neurons
335,GSM1658145,neurons
336,GSM1658146,neurons
337,GSM1658147,neurons
338,GSM1658148,neurons
339,GSM1658149,neurons
340,GSM1658150,neurons
341,GSM1658151,neurons
342,GSM1658152,neurons
343,GSM1658153,neurons
345,GSM1658155,oligodendrocytes
346,GSM1658156,neurons
347,GSM1658157,oligodendrocytes
348,GSM1658158,neurons
349,GSM1658159,oligodendrocytes
350,GSM1658160,neurons
352,GSM1658162,oligodendrocytes
353,GSM1658164,oligodendrocytes
354,GSM1657871,oligodendrocytes
356,GSM1657873,oligodendrocytes
359,GSM1657876,oligodendrocytes
363,GSM1657885,astrocytes
367,GSM1657889,oligodendrocytes
368,GSM1657890,oligodendrocytes
369,GSM1657891,oligodendrocytes
370,GSM1657892,oligodendrocytes
371,GSM1657893,OPC
372,GSM1657894,oligodendrocytes
376,GSM1657898,oligodendrocytes
377,GSM1657899,oligodendrocytes
378,GSM1657900,oligodendrocytes
379,GSM1657901,oligodendrocytes
380,GSM1657902,oligodendrocytes
381,GSM1657903,OPC
382,GSM1657904,OPC
384,GSM1657906,OPC
385,GSM1657907,OPC
386,GSM1657908,OPC
387,GSM1657909,OPC
388,GSM1657910,microglia
389,GSM1657911,OPC
391,GSM1657913,OPC
392,GSM1657914,OPC
393,GSM1657915,OPC
394,GSM1657916,OPC
395,GSM1657917,OPC
396,GSM1657918,microglia
397,GSM1657919,microglia
398,GSM1657920,OPC
399,GSM1657921,OPC
400,GSM1657922,OPC
401,GSM1657923,microglia
402,GSM1657924,OPC
403,GSM1657925,microglia
404,GSM1657926,microglia
405,GSM1657927,microglia
406,GSM1657928,OPC
408,GSM1657930,neurons
409,GSM1657931,neurons
410,GSM1657932,astrocytes
411,GSM1657933,neurons
412,GSM1657934,microglia
413,GSM1657935,neurons
415,GSM1657937,neurons
416,GSM1657938,astrocytes
417,GSM1657939,neurons
418,GSM1657940,neurons
419,GSM1657941,neurons
420,GSM1657942,neurons
421,GSM1657943,neurons
422,GSM1657944,oligodendrocytes
423,GSM1657945,neurons
424,GSM1657946,neurons
426,GSM1657948,neurons
427,GSM1657949,neurons
428,GSM1657950,neurons
429,GSM1657951,neurons
430,GSM1657952,neurons
431,GSM1657953,neurons
432,GSM1657954,neurons
433,GSM1657955,neurons
434,GSM1657956,neurons
435,GSM1657957,neurons
436,GSM1657958,neurons
437,GSM1657959,neurons
438,GSM1657960,neurons
439,GSM1657961,neurons
440,GSM1657962,neurons
441,GSM1657963,neurons
442,GSM1657964,neurons
443,GSM1657965,astrocytes
444,GSM1657966,neurons
445,GSM1657967,neurons
446,GSM1657968,neurons
447,GSM1657969,astrocytes
448,GSM1657970,neurons
449,GSM1657971,neurons
450,GSM1657972,endothelial
451,GSM1657973,neurons
452,GSM1657974,neurons
453,GSM1657975,astrocytes
454,GSM1657976,neurons
455,GSM1657977,neurons
456,GSM1657978,neurons
457,GSM1657979,astrocytes
458,GSM1657980,neurons
459,GSM1657981,astrocytes
460,GSM1657982,neurons
461,GSM1657983,neurons
462,GSM1657984,neurons
463,GSM1657985,neurons
464,GSM1657986,neurons
465,GSM1657987,neurons
